Ticker,close,date,high,low,month,open,volume,Sector
HINDALCO,576.95,2024-01-11 05:30:00,587.0,575.5,2024-01,582.95,3899383,Metals
HINDALCO,582.05,2024-01-12 05:30:00,585.5,575.75,2024-01,581.0,2440863,Metals
HINDALCO,574.65,2024-01-15 05:30:00,586.0,572.25,2024-01,585.85,3778987,Metals
HINDALCO,579.55,2024-01-16 05:30:00,584.85,569.45,2024-01,575.95,5187155,Metals
HINDALCO,560.25,2024-01-17 05:30:00,572.7,558.1,2024-01,570.95,6148035,Metals
HINDALCO,554.9,2024-01-18 05:30:00,561.35,547.8,2024-01,560.25,3784905,Metals
HINDALCO,557.1,2024-01-19 05:30:00,561.0,554.5,2024-01,556.5,4451789,Metals
HINDALCO,561.05,2024-01-20 05:30:00,566.75,558.35,2024-01,561.0,1502352,Metals
HINDALCO,541.4,2024-01-23 05:30:00,561.8,537.6,2024-01,558.0,7867972,Metals
HINDALCO,565.15,2024-01-24 05:30:00,566.8,547.0,2024-01,550.0,8619429,Metals
HINDALCO,567.2,2024-01-25 05:30:00,570.0,558.4,2024-01,566.5,5366990,Metals
HINDALCO,567.9,2024-01-29 05:30:00,571.95,562.0,2024-01,568.0,5126212,Metals
HINDALCO,569.25,2024-01-30 05:30:00,584.3,567.25,2024-01,569.95,7968815,Metals
HINDALCO,579.35,2024-01-31 05:30:00,580.6,568.25,2024-01,569.2,5644545,Metals
HINDALCO,571.25,2024-02-01 05:30:00,581.8,570.3,2024-02,578.0,3509803,Metals
HINDALCO,583.5,2024-02-02 05:30:00,589.0,573.1,2024-02,577.0,7145858,Metals
HINDALCO,579.9,2024-02-05 05:30:00,590.9,576.05,2024-02,583.5,4801118,Metals
HINDALCO,584.9,2024-02-06 05:30:00,587.75,569.25,2024-02,578.6,4099573,Metals
HINDALCO,592.25,2024-02-07 05:30:00,602.15,584.65,2024-02,590.4,9415146,Metals
HINDALCO,601.3,2024-02-08 05:30:00,608.95,587.85,2024-02,592.0,11844758,Metals
HINDALCO,591.3,2024-02-09 05:30:00,602.0,576.3,2024-02,601.0,5105348,Metals
HINDALCO,582.45,2024-02-12 05:30:00,601.8,579.75,2024-02,591.9,4595403,Metals
HINDALCO,510.1,2024-02-13 05:30:00,540.0,496.35,2024-02,539.0,46100123,Metals
HINDALCO,507.8,2024-02-14 05:30:00,516.9,503.15,2024-02,515.0,16634538,Metals
HINDALCO,513.2,2024-02-15 05:30:00,518.5,507.6,2024-02,512.7,13303658,Metals
HINDALCO,515.7,2024-02-16 05:30:00,519.95,510.95,2024-02,519.95,12066565,Metals
HINDALCO,512.3,2024-02-19 05:30:00,518.9,511.8,2024-02,518.75,5580597,Metals
HINDALCO,511.6,2024-02-20 05:30:00,515.9,507.15,2024-02,512.6,5186970,Metals
HINDALCO,511.8,2024-02-21 05:30:00,538.0,510.0,2024-02,535.0,18106978,Metals
HINDALCO,521.15,2024-02-22 05:30:00,522.15,514.25,2024-02,516.3,8727844,Metals
HINDALCO,518.35,2024-02-23 05:30:00,524.8,517.0,2024-02,524.7,6445580,Metals
HINDALCO,505.05,2024-02-26 05:30:00,519.75,504.0,2024-02,519.4,7605543,Metals
HINDALCO,509.65,2024-02-27 05:30:00,512.2,504.7,2024-02,505.5,6741206,Metals
HINDALCO,504.4,2024-02-28 05:30:00,514.45,501.75,2024-02,512.5,4406098,Metals
HINDALCO,503.85,2024-02-29 05:30:00,508.0,499.0,2024-02,506.5,16860796,Metals
HINDALCO,519.1,2024-03-01 05:30:00,522.5,510.0,2024-03,510.0,9882296,Metals
HINDALCO,522.85,2024-03-02 05:30:00,524.0,518.0,2024-03,523.0,623929,Metals
HINDALCO,524.95,2024-03-04 05:30:00,529.85,520.05,2024-03,524.0,5989974,Metals
HINDALCO,522.1,2024-03-05 05:30:00,528.3,520.2,2024-03,524.0,5729926,Metals
HINDALCO,526.95,2024-03-06 05:30:00,527.9,513.95,2024-03,522.05,4637732,Metals
HINDALCO,536.7,2024-03-07 05:30:00,540.85,529.25,2024-03,530.8,7909060,Metals
HINDALCO,533.7,2024-03-11 05:30:00,543.25,532.1,2024-03,540.0,5527908,Metals
HINDALCO,528.95,2024-03-12 05:30:00,536.85,525.3,2024-03,533.1,3703670,Metals
HINDALCO,507.0,2024-03-13 05:30:00,530.0,501.2,2024-03,529.35,5712435,Metals
HINDALCO,525.25,2024-03-14 05:30:00,526.35,507.0,2024-03,512.0,10349338,Metals
HINDALCO,532.55,2024-03-15 05:30:00,534.05,517.5,2024-03,522.0,8467660,Metals
HINDALCO,531.15,2024-03-18 05:30:00,535.55,527.0,2024-03,532.0,4282437,Metals
HINDALCO,533.65,2024-03-19 05:30:00,539.75,529.25,2024-03,532.0,7119131,Metals
HINDALCO,527.85,2024-03-20 05:30:00,535.5,516.35,2024-03,533.0,5005234,Metals
HINDALCO,539.7,2024-03-21 05:30:00,545.75,534.25,2024-03,538.4,8795679,Metals
HINDALCO,547.75,2024-03-22 05:30:00,550.65,537.35,2024-03,539.7,5518261,Metals
HINDALCO,558.65,2024-03-26 05:30:00,561.0,545.0,2024-03,545.65,7198061,Metals
HINDALCO,557.65,2024-03-27 05:30:00,564.65,556.8,2024-03,564.2,5320703,Metals
HINDALCO,560.25,2024-03-28 05:30:00,566.65,555.3,2024-03,561.0,8326754,Metals
HINDALCO,568.6,2024-04-01 05:30:00,574.0,564.1,2024-04,570.0,6192790,Metals
HINDALCO,571.2,2024-04-02 05:30:00,572.3,561.55,2024-04,571.0,4626877,Metals
HINDALCO,576.6,2024-04-03 05:30:00,584.1,567.15,2024-04,570.2,7514291,Metals
HINDALCO,577.75,2024-04-04 05:30:00,590.0,568.95,2024-04,590.0,7246259,Metals
HINDALCO,570.05,2024-04-05 05:30:00,575.0,567.6,2024-04,572.5,4884617,Metals
HINDALCO,576.8,2024-04-08 05:30:00,579.7,570.5,2024-04,572.0,3276169,Metals
HINDALCO,588.6,2024-04-09 05:30:00,595.45,574.0,2024-04,578.1,7829711,Metals
HINDALCO,603.05,2024-04-10 05:30:00,604.9,591.05,2024-04,596.2,11748104,Metals
HINDALCO,598.65,2024-04-12 05:30:00,609.05,595.3,2024-04,609.05,15994496,Metals
HINDALCO,612.7,2024-04-15 05:30:00,625.4,605.7,2024-04,615.0,27067692,Metals
HINDALCO,608.85,2024-04-16 05:30:00,621.4,606.8,2024-04,612.7,10722248,Metals
HINDALCO,612.8,2024-04-18 05:30:00,625.0,609.8,2024-04,616.4,9953539,Metals
HINDALCO,614.75,2024-04-19 05:30:00,616.3,600.7,2024-04,609.0,6443897,Metals
HINDALCO,618.55,2024-04-22 05:30:00,622.45,612.7,2024-04,620.65,6503652,Metals
HINDALCO,611.8,2024-04-23 05:30:00,618.75,610.4,2024-04,618.5,6154126,Metals
HINDALCO,636.1,2024-04-24 05:30:00,637.65,608.7,2024-04,611.8,11775700,Metals
HINDALCO,646.8,2024-04-25 05:30:00,648.25,628.1,2024-04,635.7,11897458,Metals
HINDALCO,649.3,2024-04-26 05:30:00,661.6,643.0,2024-04,650.95,7545608,Metals
HINDALCO,650.05,2024-04-29 05:30:00,655.4,641.2,2024-04,654.95,4157501,Metals
HINDALCO,644.4,2024-04-30 05:30:00,653.7,642.3,2024-04,653.6,4771959,Metals
HINDALCO,641.45,2024-05-02 05:30:00,646.9,628.65,2024-05,635.9,17929526,Metals
HINDALCO,647.1,2024-05-03 05:30:00,655.05,638.4,2024-05,655.05,10633995,Metals
HINDALCO,638.8,2024-05-06 05:30:00,655.0,629.3,2024-05,650.0,10094421,Metals
HINDALCO,620.2,2024-05-07 05:30:00,646.9,611.75,2024-05,646.9,10787196,Metals
HINDALCO,633.5,2024-05-08 05:30:00,634.45,615.1,2024-05,615.1,7683352,Metals
HINDALCO,619.4,2024-05-09 05:30:00,637.75,615.0,2024-05,634.0,6588118,Metals
HINDALCO,625.6,2024-05-10 05:30:00,629.55,618.0,2024-05,620.1,4364788,Metals
HINDALCO,633.5,2024-05-13 05:30:00,636.15,614.3,2024-05,625.1,3582386,Metals
HINDALCO,646.65,2024-05-14 05:30:00,649.5,638.2,2024-05,644.35,8339846,Metals
HINDALCO,653.7,2024-05-15 05:30:00,659.0,648.7,2024-05,653.0,6764257,Metals
HINDALCO,653.35,2024-05-16 05:30:00,666.0,643.25,2024-05,660.0,8781056,Metals
HINDALCO,655.45,2024-05-17 05:30:00,658.8,650.4,2024-05,653.0,5026205,Metals
HINDALCO,660.35,2024-05-18 05:30:00,662.9,657.5,2024-05,662.0,467849,Metals
HINDALCO,693.6,2024-05-21 05:30:00,695.4,663.2,2024-05,666.3,15976672,Metals
HINDALCO,684.55,2024-05-22 05:30:00,698.7,677.4,2024-05,698.55,8004434,Metals
HINDALCO,676.8,2024-05-23 05:30:00,678.55,665.95,2024-05,675.15,9749101,Metals
HINDALCO,673.25,2024-05-24 05:30:00,690.45,671.05,2024-05,679.25,15930052,Metals
HINDALCO,677.85,2024-05-27 05:30:00,689.5,675.5,2024-05,685.05,10475785,Metals
HINDALCO,681.3,2024-05-28 05:30:00,698.0,678.35,2024-05,682.0,12925385,Metals
HINDALCO,705.3,2024-05-29 05:30:00,713.5,682.3,2024-05,695.0,22684652,Metals
HINDALCO,695.15,2024-05-30 05:30:00,713.05,693.35,2024-05,704.85,10361716,Metals
HINDALCO,689.35,2024-05-31 05:30:00,703.45,684.35,2024-05,698.9,13620282,Metals
HINDALCO,695.95,2024-06-03 05:30:00,715.25,692.8,2024-06,715.0,7081956,Metals
HINDALCO,649.05,2024-06-04 05:30:00,697.0,594.25,2024-06,697.0,24250212,Metals
HINDALCO,695.25,2024-06-05 05:30:00,700.65,607.0,2024-06,627.0,25836374,Metals
HINDALCO,677.5,2024-06-06 05:30:00,695.0,673.0,2024-06,695.0,10420244,Metals
HINDALCO,680.35,2024-06-07 05:30:00,687.0,672.45,2024-06,677.5,7172942,Metals
